attack_id,location_names,campaign_name,verified_attack_type,attack_date,number_killed,number_wounded
235857551,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-10-16,6,15
1416599005,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-10-16,12,28
-2096630011,Libya,"Libyan Rebels","Confirmed Suicide",2014-10-17,3,0
1667857736,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-10-18,3,6
1803282208,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-10-18,1,1
-1791753985,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-10-19,21,30
-827910447,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-10-19,4,7
-2062258354,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-10-20,11,26
-897676740,Yemen,"Rebels vs. Yemen","Confirmed Suicide",2014-10-20,15,0
229714168,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-10-20,11,26
-717868304,Mali,"Rebels vs. Government of Mali & Allies",Unverified,2014-10-21,0,0
-1953919986,Libya,"Libyan Rebels","Confirmed Suicide",2014-10-22,1,4
572523322,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-10-22,0,3
1416950893,Pakistan,"Pakistani Rebels vs. Pakistan & U.S. Allies","Confirmed Suicide",2014-10-23,2,17
1236797923,Egypt,"Egyptian Rebels","Confirmed Suicide",2014-10-24,31,31
-1990887129,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-10-25,8,28
1416952221,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-10-25,2,3
-510333477,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-10-27,27,25
1241761742,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-10-27,1,0
-799482205,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-10-29,6,14
1416607665,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-10-29,5,18
1464025914,Syria,"Rebels vs. Syria & Allies","Confirmed Suicide",2014-10-31,0,0
1417622525,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-11-01,20,53
1417798970,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-11-01,12,20
1420748228,Pakistan,"Pakistani Rebels vs. Pakistan & U.S. Allies","Confirmed Suicide",2014-11-02,60,55
1420830656,Nigeria,"Rebels vs. Nigeria & Allies","Confirmed Suicide",2014-11-03,32,119
-1865683475,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-11-04,11,0
576861541,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-11-05,4,7
136900846,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-11-06,5,12
342093208,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-11-07,4,12
-1953419486,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-11-08,5,0
1119758383,Yemen,"Rebels vs. Yemen","Confirmed Suicide",2014-11-08,24,0
-150520042,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-11-09,1,6
1301810906,Nigeria,"Rebels vs. Nigeria & Allies","Confirmed Suicide",2014-11-10,58,117
1420575400,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-11-10,8,4
-1118356261,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-11-11,8,0
1420832931,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-11-11,7,16
-2137497052,Nigeria,"Rebels vs. Nigeria & Allies","Confirmed Suicide",2014-11-12,0,4
-799602680,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-11-12,10,20
-162274490,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-11-12,11,23
278302065,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-11-12,6,10
729444512,Syria,"Rebels vs. Syria & Allies","Confirmed Suicide",2014-11-12,2,2
1047982997,Libya,"Libyan Rebels","Confirmed Suicide",2014-11-12,5,0
1253118234,Libya,"Libyan Rebels","Confirmed Suicide",2014-11-12,2,20
1802454865,Yemen,"Rebels vs. Yemen","Confirmed Suicide",2014-11-12,24,0
-998174563,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-11-13,0,1
-752842220,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-11-13,1,1
-1534943311,Nigeria,"Rebels vs. Nigeria & Allies","Confirmed Suicide",2014-11-14,6,5
1949583416,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-11-14,0,3
2104265184,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-11-14,17,5
-821002304,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-11-16,0,3
-526415982,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-11-16,3,22
-512738365,Nigeria,"Rebels vs. Nigeria & Allies","Confirmed Suicide",2014-11-16,13,65
-1881064924,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-11-17,0,4
-1849579814,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-11-17,3,4
1420664907,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-11-18,2,1
-1097108368,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-11-19,4,24
17656195,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-11-19,0,0
273544131,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-11-20,4,5
-945380036,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-11-23,50,80
-64493269,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-11-23,7,14
2072249631,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-11-24,5,9
1421090535,Nigeria,"Rebels vs. Nigeria & Allies","Confirmed Suicide",2014-11-25,3,0
540971229,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-11-27,0,1
1128237506,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-11-27,5,35
764062504,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-11-28,4,5
1354205583,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-11-28,4,5
1467391976,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-11-29,5,8
1420663446,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-12-01,9,21
1421253805,Syria,"Rebels vs. Syria & Allies","Confirmed Suicide",2014-12-01,0,0
1467831788,Syria,"Rebels vs. Syria & Allies","Confirmed Suicide",2014-12-02,0,0
-1137550062,Syria,"Rebels vs. Syria & Allies","Confirmed Suicide",2014-12-03,0,0
-281432231,Somalia,"Somali Rebels vs. Ethiopia & Allies","Confirmed Suicide",2014-12-03,4,9
1554013358,Syria,"Rebels vs. Syria & Allies","Confirmed Suicide",2014-12-03,19,0
1831439098,Yemen,"Rebels vs. Yemen","Confirmed Suicide",2014-12-03,3,0
1967208316,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-12-04,18,22
-1824904236,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-12-07,7,11
-1822070344,Syria,"Rebels vs. Syria & Allies","Confirmed Suicide",2014-12-07,0,0
1250490154,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-12-07,8,11
1765165587,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-12-08,6,7
-1485118676,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-12-10,9,22
920148306,Nigeria,"Rebels vs. Nigeria & Allies","Confirmed Suicide",2014-12-10,4,29
-1817170716,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-12-11,1,10
-1371843012,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-12-11,6,12
308724411,Nigeria,"Rebels vs. Nigeria & Allies","Confirmed Suicide",2014-12-11,32,47
-376529389,Syria,"Rebels vs. Syria & Allies","Confirmed Suicide",2014-12-12,32,0
540360420,Syria,"Rebels vs. Syria & Allies","Confirmed Suicide",2014-12-12,0,0
997458226,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-12-12,5,0
-1313032989,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-12-13,6,9
934148197,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-12-13,6,8
1421357618,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-12-13,7,18
-951974131,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-12-14,0,4
